country,new_cases,new_date_3
Harris,696,2021-03-02
Harris,1230,2021-03-03
Harris,620,2021-03-04
Harris,776,2021-03-05
Harris,612,2021-03-06
Harris,447,2021-03-07
Harris,236,2021-03-08
Harris,251,2021-03-09
Harris,348,2021-03-10
Harris,122,2021-03-11
Harris,1530,2021-03-12
Harris,634,2021-03-13
Harris,800,2021-03-14
Harris,475,2021-03-15
Harris,84,2021-03-16
Harris,561,2021-03-17
Harris,1122,2021-03-18
Harris,542,2021-03-19
Harris,502,2021-03-20
Harris,552,2021-03-21
Harris,661,2021-03-22
Harris,376,2021-03-23
Harris,728,2021-03-24
Harris,294,2021-03-25
Harris,299,2021-03-26
Harris,560,2021-03-27
Harris,1143,2021-03-28
Harris,901,2021-03-29
Harris,531,2021-03-30
Harris,1024,2021-03-31
Harris,667,2021-04-01
Harris,520,2021-04-02
Harris,345,2021-04-03
Harris,787,2021-04-04
Harris,511,2021-04-05
Harris,199,2021-04-06
Harris,552,2021-04-07
Harris,242,2021-04-08
Harris,397,2021-04-09
Harris,225,2021-04-10
Harris,595,2021-04-11
Harris,529,2021-04-12
Harris,659,2021-04-13
Harris,115,2021-04-14
Harris,481,2021-04-15
Harris,625,2021-04-16
Harris,471,2021-04-17
Harris,485,2021-04-18
Harris,512,2021-04-19
Harris,349,2021-04-20
Harris,400,2021-04-21
Harris,230,2021-04-22
Harris,777,2021-04-23
